metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.7171,0.7144,0.7012,0.7159
AUC,New,0.8327,0.8584,0.8193,0.8590
AUC,Retrain,0.8166,0.8409,0.7953,0.8420
AUC,Finetune,0.8073,0.8435,0.7892,0.8449
F1,Old,0.0942,0.1043,0.0850,0.1023
F1,New,0.1812,0.2501,0.1538,0.2445
F1,Retrain,0.1556,0.1856,0.1425,0.2073
F1,Finetune,0.1409,0.1951,0.1281,0.1945
G_Mean,Old,0.6147,0.5172,0.6047,0.5093
G_Mean,New,0.6540,0.6622,0.6285,0.6763
G_Mean,Retrain,0.6431,0.6963,0.6653,0.6491
G_Mean,Finetune,0.6751,0.6842,0.6494,0.6862
Recall,Old,0.5087,0.3153,0.5167,0.3203
Recall,New,0.4729,0.4662,0.4482,0.4893
Recall,Retrain,0.4634,0.5401,0.5122,0.4530
Recall,Finetune,0.5381,0.5164,0.5000,0.5199
Precision,Old,0.0526,0.0634,0.0468,0.0623
Precision,New,0.1132,0.1745,0.0944,0.1659
Precision,Retrain,0.0935,0.1121,0.0828,0.1344
Precision,Finetune,0.0814,0.1207,0.0737,0.1200
