new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0874,0.0868,0.1070,0.0931,0.0936
14yr,0.0689,0.0743,0.0757,0.0818,0.0752
13yr,0.0836,0.1061,0.0970,0.1070,0.0984
12yr,0.0865,0.0786,0.0900,0.0882,0.0858
11yr,0.1116,0.1435,0.0765,0.1255,0.1143
10yr,0.1168,0.1616,0.1255,0.1403,0.1361
9yr,0.0927,0.1262,0.1140,0.1473,0.1201
8yr,0.1017,0.1581,0.1254,0.1501,0.1338
7yr,0.1677,0.1341,0.1544,0.1338,0.1475
6yr,0.1352,0.1447,0.1547,0.1576,0.1481
5yr,0.1284,0.1470,0.1429,0.1567,0.1437
4yr,0.1401,0.1579,0.1057,0.1696,0.1433
3yr,0.1474,0.1297,0.1354,0.1198,0.1331
2yr,0.1798,0.1731,0.1771,0.1600,0.1725
1yr,0.1404,0.1445,0.1243,0.0923,0.1254
avg,0.1192,0.1311,0.1204,0.1282,0.1247
