dataset_name,split_id,old_window,new_window,test_window,method,train_scope,best_ensemble_size,best_subset,AUC,F1,Recall
Bankruptcy_US,split_1+15,1999~1999,2000~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.7517,0.1371,0.2195
Bankruptcy_US,split_2+14,1999~2000,2001~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.7708,0.1263,0.2334
Bankruptcy_US,split_3+13,1999~2001,2002~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.7931,0.1324,0.2648
Bankruptcy_US,split_4+12,1999~2002,2003~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.7825,0.1309,0.2822
Bankruptcy_US,split_5+11,1999~2003,2004~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8075,0.1565,0.3449
Bankruptcy_US,split_6+10,1999~2004,2005~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8013,0.1560,0.3484
Bankruptcy_US,split_7+9,1999~2005,2006~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8137,0.1699,0.3693
Bankruptcy_US,split_8+8,1999~2006,2007~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8071,0.1767,0.3798
Bankruptcy_US,split_9+7,1999~2007,2008~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8238,0.1957,0.3972
Bankruptcy_US,split_10+6,1999~2008,2009~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8358,0.2142,0.4321
Bankruptcy_US,split_11+5,1999~2009,2010~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_LCA,0.8511,0.2469,0.4530
Bankruptcy_US,split_12+4,1999~2010,2011~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8465,0.2458,0.4634
Bankruptcy_US,split_13+3,1999~2011,2012~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8517,0.2430,0.4390
Bankruptcy_US,split_14+2,1999~2012,2013~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8610,0.2534,0.4251
Bankruptcy_US,split_15+1,1999~2013,2014~2014,2015~2018,DynamicDCS,Old/New pools + dynamic classifier selection,pool6_xgb,DCS_OLA,0.8429,0.2455,0.3763
