dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,OldNew_under,OldNew_over,OldNew_hybrid,2models_subsets_mean,3models_subsets_mean,4models_subsets_mean,5models_subsets_mean,6models_subsets_mean
O1 + N15,0.2683,0.4007,0.5784,0.4878,0.4774,0.5854,0.3624,0.4425,0.4913,0.4115,0.4398,0.4351,0.4309,0.4251
O2 + N14,0.3310,0.2125,0.4181,0.4878,0.3868,0.5226,0.4425,0.4321,0.4251,0.4239,0.4326,0.4499,0.3926,0.3902
O3 + N13,0.1986,0.3066,0.3206,0.5575,0.4948,0.5854,0.4251,0.4460,0.5157,0.4429,0.4334,0.4469,0.4321,0.4530
O4 + N12,0.2369,0.2613,0.2718,0.5610,0.5192,0.6237,0.4495,0.5714,0.4564,0.4863,0.4996,0.4908,0.4826,0.5157
O5 + N11,0.1986,0.2613,0.3136,0.5645,0.4390,0.5645,0.5087,0.4321,0.5749,0.5118,0.5137,0.5082,0.4959,0.4983
O6 + N10,0.1812,0.2997,0.2091,0.6028,0.5226,0.5854,0.4843,0.4669,0.6167,0.5250,0.5316,0.5196,0.5261,0.4948
O7 + N9,0.1638,0.2544,0.2613,0.5819,0.4948,0.5958,0.5122,0.4704,0.4390,0.5083,0.5000,0.5015,0.5029,0.5192
O8 + N8,0.3310,0.2265,0.3345,0.5679,0.5540,0.6132,0.4599,0.4808,0.5122,0.5145,0.5329,0.5220,0.5366,0.5366
O9 + N7,0.3031,0.3206,0.3937,0.6132,0.5226,0.5993,0.5122,0.4355,0.5575,0.5060,0.5159,0.5215,0.5151,0.5087
O10 + N6,0.3240,0.3659,0.3589,0.5714,0.5261,0.5679,0.4774,0.5261,0.5679,0.5238,0.5286,0.5387,0.5424,0.5854
O11 + N5,0.3624,0.4216,0.4111,0.5610,0.6132,0.5854,0.4948,0.4808,0.5993,0.5192,0.5137,0.5215,0.5029,0.5122
O12 + N4,0.3659,0.3449,0.4948,0.5854,0.5679,0.6481,0.5261,0.4564,0.5436,0.5393,0.5488,0.5445,0.5168,0.4843
O13 + N3,0.3589,0.3345,0.4286,0.5714,0.6202,0.5958,0.4948,0.4564,0.5331,0.5021,0.5257,0.5357,0.5407,0.4983
O14 + N2,0.4425,0.3972,0.5714,0.6725,0.6132,0.5714,0.5331,0.4843,0.5679,0.5505,0.5509,0.5740,0.5819,0.5505
O15 + N1,0.4216,0.4251,0.5192,0.6272,0.6202,0.6481,0.5192,0.5714,0.5923,0.5459,0.5629,0.5793,0.5459,0.5923
avg,0.2992,0.3222,0.3923,0.5742,0.5315,0.5928,0.4801,0.4769,0.5329,0.5007,0.5087,0.5126,0.5030,0.5043
