,dataset,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
DES_KNORAE,Bankruptcy,0.8559588562597946,0.22237860661505982,0.7111456543225257,0.5505226480836237,0.13932980599647266,0.08136723634847853,0.44947735191637633
DCS_OLA,Bankruptcy,0.8394606928264244,0.21368178324365872,0.670067754862874,0.4843205574912892,0.13708086785009863,0.07294706127553147,0.5156794425087108
DCS_LCA,Bankruptcy,0.8371839021194951,0.2542955326460481,0.6094620307499263,0.3867595818815331,0.189419795221843,0.03959983326385994,0.6132404181184669
DCS_OLA_TW,Bankruptcy,0.8414920270205501,0.21983089930822444,0.6797628628676268,0.49825783972125437,0.14102564102564102,0.07261358899541476,0.5017421602787456
DCS_LCA_TW,Bankruptcy,0.8323070152633283,0.23450905624404195,0.6369776190006392,0.42857142857142855,0.16141732283464566,0.05327219674864527,0.5714285714285714
DES_KNORAE,Stock,0.5143313489182518,0.0,0.0,0.0,0.0,0.0,1.0
DCS_OLA,Stock,0.5079425003630028,0.10884353741496598,0.42102435462506754,0.22535211267605634,0.07174887892376682,0.2134020618556701,0.7746478873239436
DCS_LCA,Stock,0.5132568607521417,0.0,0.0,0.0,0.0,0.0,1.0
DCS_OLA_TW,Stock,0.5079425003630028,0.10884353741496598,0.42102435462506754,0.22535211267605634,0.07174887892376682,0.2134020618556701,0.7746478873239436
DCS_LCA_TW,Stock,0.5132568607521417,0.0,0.0,0.0,0.0,0.0,1.0
DES_KNORAE,Medical,0.6374301471288805,0.1640597844977407,0.32568073818544035,0.10890632210429164,0.3323943661971831,0.026062572166932425,0.8910936778957084
DCS_OLA,Medical,0.6015778269690599,0.09880028228652082,0.2504663450832815,0.06460544531610521,0.2098950524737631,0.028976741628635838,0.9353945546838948
DCS_LCA,Medical,0.6104130373604943,0.08513816280806571,0.22684562650293394,0.05260729118597139,0.22309197651663404,0.02182877879804256,0.9473927088140286
DCS_OLA_TW,Medical,0.6135469792124473,0.11238223418573351,0.2726932786043459,0.07706506691278264,0.20745341614906831,0.03508000219937318,0.9229349330872173
DCS_LCA_TW,Medical,0.6068539882377177,0.0910394265232975,0.23876356934867138,0.0586063682510383,0.20385232744783308,0.027272227415186673,0.9413936317489617
