split,fs,AUC,F1,Recall
split_1+15,rfe_r80,0.7920300706014265,0.13697362332253588,0.5156794425087108
split_2+14,rfe_r80,0.7935818205320742,0.14118895966029724,0.4634146341463415
split_3+13,rfe_r80,0.778136941495658,0.13051146384479717,0.3867595818815331
split_4+12,rfe_r80,0.7882021109260101,0.1391509433962264,0.41114982578397213
split_5+11,rfe_r80,0.7945372128049869,0.13460519342872285,0.4425087108013937
split_6+10,rfe_r80,0.8141214472348379,0.14435815440840566,0.5505226480836237
split_7+9,rfe_r80,0.810244686737941,0.1630901287553648,0.4634146341463415
split_8+8,rfe_r80,0.8249068645036477,0.16826651609260304,0.519163763066202
split_9+7,rfe_r80,0.8281063683619627,0.16279069767441862,0.5609756097560976
split_10+6,rfe_r80,0.833835817188637,0.1956521739130435,0.5331010452961672
split_11+5,rfe_r80,0.8395277939559601,0.18326693227091634,0.5609756097560976
split_12+4,rfe_r80,0.8436932926466166,0.1791044776119403,0.6062717770034843
split_13+3,rfe_r80,0.8443410654555541,0.1769995267392333,0.6515679442508711
split_14+2,rfe_r80,0.8399161671602424,0.1685823754789272,0.6132404181184669
split_15+1,rfe_r80,0.850617199675242,0.15715995213402473,0.686411149825784
