ratio_new,method,AUC,F1
new_20,retrain,0.5434153751436583,0.0
new_20,ensemble_new_3,0.5821311781404392,0.0
new_20,DES_baseline,0.5411174348612829,0.0
new_20,DES_combined,0.5202133596738854,0.005747126436781609
new_50,retrain,0.5434153751436583,0.0
new_50,ensemble_new_3,0.5821311781404392,0.0
new_50,DES_baseline,0.5411174348612829,0.0
new_50,DES_combined,0.5202133596738854,0.005747126436781609
new_80,retrain,0.5561245156983526,0.0
new_80,ensemble_new_3,0.5821311781404392,0.0
new_80,DES_baseline,0.5140302273019797,0.0
new_80,DES_combined,0.5093143736759651,0.0
