,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
DES_baseline_new_010,0.5158922607811819,0.12830188679245283,0.46897346568270526,0.7183098591549296,0.07044198895027624,0.6938144329896907,0.28169014084507044
DES_combined_new_010,0.5108973428198054,0.12698412698412698,,0.6197183098591549,0.0707395498392283,,
DES_baseline_new_020,0.5159503412225932,0.12814070351758794,0.4681832823654138,0.7183098591549296,0.0703448275862069,0.6948453608247422,0.28169014084507044
DES_combined_new_020,0.5344707419776391,0.1285140562248996,,0.676056338028169,0.07100591715976332,,
DES_baseline_new_030,0.5093291709016989,0.12439024390243902,0.4488017054497211,0.7183098591549296,0.06809078771695594,0.7195876288659794,0.28169014084507044
DES_combined_new_030,0.5225352112676056,0.12638580931263857,,0.8028169014084507,0.06859205776173286,,
DES_baseline_new_050,0.5162697836503557,0.12830188679245283,0.46897346568270526,0.7183098591549296,0.07044198895027624,0.6938144329896907,0.28169014084507044
DES_combined_new_050,0.530782633948018,0.12883435582822086,,0.5915492957746479,0.07228915662650602,,
DES_baseline_new_070,0.616915928561057,0.0,0.0,0.0,0.0,0.0,1.0
DES_combined_new_070,0.43930593872513435,0.0,,0.0,0.0,,
DES_baseline_new_100,0.5143313489182518,0.0,0.0,0.0,0.0,0.0,1.0
DES_combined_new_100,0.4820531436038914,0.0,,0.0,0.0,,
