dataset,method,AUC,F1,Precision,Recall,Type1_Error(FPR),Type2_Error(FNR)
bankruptcy,ensemble_new_3,0.8693349290427341,0.2393574297188755,0.1555323590814196,0.519163763066202,,
bankruptcy,ensemble_all_6,0.8574914344391463,0.2160052049446974,0.1328,0.578397212543554,,
bankruptcy,DES_KNORAE,0.8559588562597946,0.2223786066150598,0.1393298059964726,0.5505226480836237,,
bankruptcy,finetune,0.8551745573431438,0.1935866983372921,0.1166785969935576,0.5679442508710801,,
bankruptcy,ensemble_4,0.8491502702200249,0.1950632149307646,0.1179039301310043,0.5644599303135889,,
bankruptcy,ensemble_3_type_a,0.8489640718475904,0.1851453175457481,0.109484404837683,0.5993031358885017,,
bankruptcy,ensemble_5,0.8401912527432306,0.1889763779527559,0.1126760563380281,0.5853658536585366,,
bankruptcy,ensemble_3_type_b,0.8384007273646248,0.1932773109243697,0.116751269035533,0.5609756097560976,,
bankruptcy,ensemble_2_old_hybrid_new_hybrid,0.8372666892273639,0.184140500266099,0.1086683417085427,0.6027874564459931,,
bankruptcy,ensemble_old,0.8086293214507206,0.1327088212334114,0.0747252747252747,0.5923344947735192,,
bankruptcy,ensemble_old_3,0.8086293214507206,0.1327088212334114,0.0747252747252747,0.5923344947735192,,
bankruptcy,retrain,0.8046903980026522,0.1336370539104024,0.0749893481039625,0.6132404181184669,,
medical,ensemble_new_3,0.6664676328667649,0.1870503597122302,0.363031914893617,0.1259806183664051,,
medical,ensemble_all_6,0.6659935674677894,0.1740947075208913,0.3546099290780142,0.1153668666359021,,
medical,finetune,0.6649442091744969,0.1837985023825731,0.3501945525291828,0.1245962159667743,,
medical,ensemble_3_type_b,0.6631002169457848,0.1477832512315271,0.413135593220339,0.0899861559760036,,
medical,retrain,0.6621041810190695,0.1715495940698905,0.3648648648648648,0.1121365943700969,,
medical,ensemble_3_type_a,0.6609991786858511,0.1769730099077553,0.3407894736842105,0.1195200738347946,,
medical,ensemble_2_old_hybrid_new_hybrid,0.6608095246154339,0.1680613668061366,0.3437945791726106,0.1112136594370096,,
medical,ensemble_old_3,0.6509328343960041,0.1857605177993527,0.3109425785482123,0.1324411628980157,,
medical,DES_KNORAE,0.6374301471288805,0.1640597844977407,0.3323943661971831,0.1089063221042916,0.0260625721669324,0.8910936778957084
stock,finetune,0.5910994751086324,0.0,0.0,0.0,,
stock,ensemble_new_3,0.5821311781404392,0.0,0.0,0.0,,
stock,ensemble_2_old_hybrid_new_hybrid,0.5711004361201083,0.1257393329224025,0.0905836753305973,0.3487521620953793,,
stock,ensemble_3_type_b,0.5681256972311778,0.0,0.0,0.0,,
stock,DES_KNORAE,0.5564434147360232,0.0,0.0,0.0,0.0024665257223396,1.0
stock,retrain,0.5434153751436583,0.0,0.0,0.0,,
stock,ensemble_old_3,0.5368373027271153,0.1470252558139478,0.0822243097383397,0.7245907879710697,,
stock,ensemble_3_type_a,0.5363541988275142,0.148213828425096,0.0863138906571064,0.6194645349574927,,
stock,ensemble_all_6,0.5339926449722837,0.061061061061061,0.0356100408639813,0.2140350877192982,,
